Season,Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,3P%,Att.,#.1
2012-2013,A.J. Price,PG,26,WAS,57,1278,0.39,18.3,0.516,0.092,0.116,0.114,0.194,0.484,0.4270000000000001,0.5529999999999999,0.417,0.447,0.363,0.35,0.308,0.7709999999999999,0.0,0,0.23,0.391,0,0
2012-2013,Aaron Brooks,PG,28,HOU,7,38,0.308,18.3,0.462,0.308,0.0,0.0,0.154,0.5379999999999999,0.333,0.5,0.0,0.0,0.0,0.28600000000000003,1.0,1.0,0.0,0,0.14300000000000002,0.0,0,0
2012-2013,Aaron Brooks,PG,28,SAC,46,959,0.459,15.7,0.581,0.218,0.149,0.069,0.145,0.419,0.517,0.621,0.4,0.524,0.477,0.378,0.198,0.625,0.0,0,0.189,0.375,2,0
2012-2013,Aaron Brooks,PG,28,TOT,53,997,0.453,15.8,0.5760000000000001,0.222,0.142,0.066,0.146,0.424,0.511,0.614,0.4,0.524,0.457,0.373,0.215,0.64,0.0,0,0.187,0.36,2,0
2012-2013,Aaron Gray,C,28,TOR,42,513,0.5329999999999999,3.9,1.0,0.578,0.3670000000000001,0.033,0.022,0.0,0.5329999999999999,0.635,0.364,0.667,0.5,0.0,0.708,0.0,0.08900000000000001,8,0.0,0.0,0,0
2012-2013,Al Harrington,C,32,ORL,10,119,0.35100000000000003,16.3,0.474,0.298,0.053,0.018000000000000002,0.105,0.526,0.444,0.529,0.333,0.0,0.333,0.267,0.333,1.0,0.0,0,0.233,0.14300000000000002,0,0
2012-2013,Al Horford,C,26,ATL,74,2756,0.5429999999999999,9.5,0.994,0.35,0.207,0.114,0.324,0.006,0.544,0.752,0.434,0.446,0.423,0.5,0.7709999999999999,0.667,0.098,101,0.5,0.667,0,0
2012-2013,Al Jefferson,C,28,UTA,78,2578,0.494,10.2,0.986,0.241,0.29100000000000004,0.16899999999999998,0.285,0.014,0.5,0.718,0.464,0.416,0.401,0.118,0.547,1.0,0.059,65,0.17600000000000002,0.0,3,0
2012-2013,Al-Farouq Aminu,SF,22,NOH,76,2066,0.475,7.1,0.96,0.489,0.224,0.08,0.16699999999999998,0.04,0.486,0.642,0.368,0.316,0.266,0.211,0.71,1.0,0.19,80,0.421,0.375,0,0
2012-2013,Alan Anderson,SF,30,TOR,65,1495,0.383,16.7,0.537,0.14800000000000002,0.14,0.107,0.14300000000000002,0.463,0.426,0.6809999999999999,0.3720000000000001,0.409,0.227,0.333,0.447,0.853,0.008,5,0.32299999999999995,0.359,0,0
2012-2013,Alec Burks,SG,21,UTA,64,1137,0.42,13.1,0.763,0.302,0.155,0.054000000000000006,0.253,0.237,0.439,0.615,0.267,0.238,0.378,0.359,0.423,0.848,0.049,19,0.174,0.375,0,0
2012-2013,Alexey Shved,SG,24,MIN,77,1840,0.3720000000000001,16.6,0.546,0.217,0.098,0.068,0.16399999999999998,0.454,0.435,0.609,0.371,0.349,0.279,0.295,0.331,0.706,0.024,15,0.087,0.48,1,0
2012-2013,Alonzo Gee,SF,25,CLE,82,2541,0.41,11.9,0.706,0.341,0.157,0.106,0.101,0.294,0.45,0.622,0.197,0.354,0.36,0.315,0.513,0.899,0.12,84,0.5660000000000001,0.298,2,1
2012-2013,Amar'e Stoudemire,PF,30,NYK,29,682,0.5770000000000001,4.7,1.0,0.5920000000000001,0.24,0.071,0.097,0.0,0.5770000000000001,0.677,0.484,0.263,0.423,0.0,0.597,0.0,0.184,47,0.0,0.0,0,0
2012-2013,Amir Johnson,PF,25,TOR,81,2325,0.5539999999999999,7.6,0.979,0.464,0.244,0.056,0.215,0.021,0.5579999999999999,0.687,0.541,0.324,0.362,0.385,0.71,1.0,0.111,63,0.385,0.4,1,0
2012-2013,Anderson Varejão,C,30,CLE,25,901,0.478,7.3,0.983,0.488,0.183,0.111,0.201,0.017,0.486,0.589,0.358,0.406,0.397,0.0,0.696,0.0,0.035,8,0.0,0.0,1,0
2012-2013,Andray Blatche,C,26,BRK,82,1555,0.512,7.6,0.967,0.438,0.265,0.111,0.154,0.033,0.524,0.6859999999999999,0.374,0.333,0.462,0.136,0.461,0.667,0.077,49,0.318,0.28600000000000003,2,0
2012-2013,Andre Drummond,C,19,DET,60,1243,0.608,2.2,0.994,0.816,0.146,0.02,0.012,0.006,0.609,0.688,0.3,0.0,0.0,0.5,0.623,0.0,0.365,114,0.0,0.0,1,0
2012-2013,Andre Iguodala,SG,29,DEN,80,2779,0.451,13.9,0.6729999999999999,0.307,0.093,0.102,0.171,0.327,0.515,0.752,0.329,0.278,0.333,0.317,0.541,0.802,0.159,134,0.348,0.26,4,0
2012-2013,Andre Miller,PG,36,DEN,82,2151,0.479,8.7,0.899,0.422,0.207,0.17600000000000002,0.093,0.101,0.504,0.618,0.397,0.387,0.441,0.266,0.248,1.0,0.002,1,0.297,0.158,4,0
2012-2013,Andrea Bargnani,PF,27,TOR,35,1003,0.399,16.1,0.711,0.115,0.141,0.162,0.293,0.289,0.436,0.551,0.4,0.406,0.424,0.309,0.598,0.974,0.014,5,0.057,0.28600000000000003,0,0
2012-2013,Andrei Kirilenko,SF,31,MIN,64,2034,0.507,9.6,0.7859999999999999,0.532,0.098,0.023,0.132,0.214,0.5660000000000001,0.664,0.382,0.231,0.365,0.292,0.715,0.971,0.15,79,0.083,0.4,1,0
2012-2013,Andrew Bogut,C,28,GSW,32,786,0.451,4.7,0.995,0.495,0.435,0.043,0.022,0.005,0.448,0.5820000000000001,0.313,0.25,0.5,1.0,0.61,1.0,0.114,17,0.0,0.0,0,0
2012-2013,Andrew Goudelock,SG,24,LAL,1,6,0.0,15.5,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2012-2013,Andrew Nicholson,PF,23,ORL,75,1249,0.527,10.2,1.0,0.239,0.311,0.119,0.331,0.0,0.527,0.698,0.4970000000000001,0.466,0.453,0.0,0.664,0.0,0.051,24,0.0,0.0,0,0
2012-2013,Andris Biedriņš,C,26,GSW,53,495,0.476,2.9,1.0,0.7140000000000001,0.28600000000000003,0.0,0.0,0.0,0.476,0.5329999999999999,0.333,0.0,0.0,0.0,0.8,0.0,0.095,2,0.0,0.0,0,0
2012-2013,Antawn Jamison,PF,36,LAL,76,1636,0.464,13.3,0.595,0.308,0.193,0.031,0.063,0.405,0.535,0.655,0.405,0.278,0.472,0.361,0.765,1.0,0.006999999999999999,3,0.279,0.385,0,0
2012-2013,Anthony Davis,PF,19,NOH,64,1846,0.516,7.8,0.991,0.469,0.183,0.123,0.21600000000000005,0.009000000000000001,0.521,0.713,0.435,0.373,0.26,0.0,0.765,0.0,0.209,129,0.0,0.0,1,0
2012-2013,Anthony Morrow,SG,27,DAL,17,82,0.5,14.1,0.853,0.147,0.17600000000000002,0.147,0.382,0.147,0.552,0.6,0.5,0.6,0.5379999999999999,0.2,0.375,1.0,0.0,0,0.4,0.5,0,0
2012-2013,Anthony Morrow,SG,27,TOT,41,383,0.441,16.0,0.703,0.11,0.138,0.145,0.31,0.297,0.471,0.688,0.3,0.5710000000000001,0.422,0.3720000000000001,0.542,1.0,0.0,0,0.326,0.5,0,0
2012-2013,Anthony Morrow,SG,27,ATL,24,301,0.423,16.6,0.6579999999999999,0.099,0.126,0.14400000000000002,0.28800000000000003,0.342,0.438,0.727,0.214,0.563,0.375,0.395,0.625,1.0,0.0,0,0.316,0.5,0,0
2012-2013,Anthony Randolph,PF,23,DEN,39,329,0.491,5.7,0.93,0.57,0.228,0.08800000000000001,0.044,0.07,0.528,0.662,0.34600000000000003,0.3,0.2,0.0,0.6609999999999999,0.0,0.228,24,0.75,0.0,0,0
2012-2013,Anthony Tolliver,SF,27,ATL,62,963,0.38,19.2,0.384,0.139,0.042,0.046,0.157,0.616,0.446,0.5329999999999999,0.333,0.3,0.441,0.338,0.865,1.0,0.023,4,0.511,0.397,0,0
2012-2013,Arnett Moultrie,PF,22,PHI,47,542,0.5820000000000001,6.6,1.0,0.56,0.142,0.112,0.187,0.0,0.5820000000000001,0.693,0.421,0.267,0.56,0.0,0.667,0.0,0.157,20,0.0,0.0,0,0
2012-2013,Aron Baynes,C,26,SAS,16,141,0.5,6.4,0.972,0.444,0.333,0.194,0.0,0.028,0.514,0.75,0.417,0.14300000000000002,0.0,0.0,0.556,0.0,0.139,5,0.0,0.0,0,0
2012-2013,Arron Afflalo,SF,27,ORL,64,2307,0.439,14.8,0.735,0.175,0.128,0.202,0.23,0.265,0.489,0.6459999999999999,0.414,0.4970000000000001,0.404,0.3,0.486,0.958,0.006,4,0.304,0.438,0,0
2012-2013,Austin Daye,SF,24,TOT,55,676,0.433,18.4,0.529,0.106,0.106,0.173,0.14400000000000002,0.471,0.445,0.455,0.682,0.417,0.3,0.418,0.633,0.951,0.014,3,0.255,0.32,3,0
2012-2013,Austin Daye,SF,24,MEM,31,328,0.423,19.5,0.477,0.081,0.099,0.171,0.126,0.523,0.509,0.667,0.818,0.368,0.35700000000000004,0.345,0.63,1.0,0.009000000000000001,1,0.241,0.28600000000000003,2,0
2012-2013,Austin Daye,SF,24,DET,24,348,0.443,17.1,0.588,0.134,0.113,0.175,0.165,0.412,0.386,0.308,0.545,0.471,0.25,0.525,0.636,0.905,0.021,2,0.275,0.364,1,0
2012-2013,Austin Rivers,SG,20,NOH,61,1418,0.3720000000000001,11.0,0.779,0.31,0.285,0.092,0.092,0.221,0.385,0.488,0.306,0.389,0.278,0.326,0.171,0.964,0.0,0,0.279,0.375,1,0
2012-2013,Avery Bradley,PG,22,BOS,50,1435,0.402,13.9,0.736,0.295,0.069,0.067,0.305,0.264,0.4320000000000001,0.482,0.273,0.313,0.445,0.317,0.487,0.95,0.019,8,0.825,0.337,0,0
2012-2013,Ben Gordon,SG,29,CHA,75,1560,0.408,16.4,0.616,0.17600000000000002,0.122,0.064,0.253,0.384,0.421,0.545,0.366,0.34700000000000003,0.38,0.387,0.376,0.7609999999999999,0.001,0,0.257,0.52,0,0
2012-2013,Ben Hansbrough,PG,25,IND,28,200,0.333,18.5,0.489,0.222,0.022,0.08900000000000001,0.156,0.511,0.409,0.6,0.0,0.5,0.14300000000000002,0.261,0.111,1.0,0.0,0,0.13,0.667,1,0
2012-2013,Beno Udrih,PG,30,ORL,27,738,0.408,15.0,0.777,0.181,0.097,0.214,0.28600000000000003,0.223,0.411,0.5579999999999999,0.478,0.353,0.338,0.396,0.171,0.667,0.0,0,0.208,0.273,2,0
2012-2013,Beno Udrih,SG,30,MIL,39,719,0.475,15.4,0.794,0.113,0.084,0.294,0.303,0.206,0.529,0.63,0.45,0.529,0.514,0.265,0.54,0.846,0.0,0,0.34700000000000003,0.294,0,0
2012-2013,Beno Udrih,SG-PG,30,TOT,66,1457,0.441,15.2,0.7859999999999999,0.147,0.09,0.254,0.294,0.214,0.471,0.586,0.465,0.455,0.429,0.333,0.381,0.735,0.0,0,0.275,0.28600000000000003,2,0
2012-2013,Bernard James,C,27,DAL,46,457,0.515,3.8,0.981,0.6890000000000001,0.243,0.029,0.019,0.019,0.525,0.62,0.36,0.0,0.0,0.0,0.7170000000000001,0.0,0.146,13,0.5,0.0,1,0
2012-2013,Bismack Biyombo,C,20,CHA,80,2186,0.451,4.0,1.0,0.578,0.318,0.075,0.029,0.0,0.451,0.58,0.273,0.269,0.3,0.0,0.667,0.0,0.197,57,0.0,0.0,0,0
2012-2013,Blake Griffin,PF,23,LAC,80,2598,0.5379999999999999,8.3,0.974,0.378,0.273,0.094,0.229,0.026,0.5479999999999999,0.778,0.468,0.35600000000000004,0.343,0.179,0.638,1.0,0.199,202,0.35700000000000004,0.2,0,0
2012-2013,Boris Diaw,PF,30,SAS,75,1709,0.539,11.3,0.765,0.38,0.154,0.075,0.157,0.235,0.5870000000000001,0.762,0.451,0.4,0.385,0.385,0.785,0.967,0.018000000000000002,6,0.269,0.429,0,0
2012-2013,Bradley Beal,SG,19,WAS,56,1745,0.41,16.6,0.6559999999999999,0.17600000000000002,0.093,0.068,0.319,0.344,0.424,0.595,0.344,0.277,0.384,0.386,0.644,0.945,0.033,22,0.373,0.5,0,0
2012-2013,Brandan Wright,C,25,DAL,64,1149,0.597,6.3,0.993,0.403,0.371,0.161,0.057,0.006999999999999999,0.601,0.7240000000000001,0.56,0.415,0.522,0.0,0.8009999999999999,0.0,0.136,48,0.0,0.0,2,0
2012-2013,Brandon Bass,PF,27,BOS,81,2239,0.486,11.3,0.997,0.255,0.122,0.267,0.353,0.003,0.487,0.607,0.403,0.459,0.452,0.0,0.748,0.0,0.104,56,0.0,0.0,2,0
2012-2013,Brandon Jennings,PG,23,MIL,80,2897,0.399,15.1,0.63,0.228,0.121,0.123,0.158,0.37,0.412,0.496,0.285,0.416,0.386,0.375,0.253,0.595,0.005,6,0.158,0.384,3,0
2012-2013,Brandon Knight,PG,21,DET,75,2365,0.407,14.3,0.628,0.297,0.124,0.042,0.16399999999999998,0.3720000000000001,0.43,0.54,0.294,0.4320000000000001,0.333,0.3670000000000001,0.35,0.892,0.015,11,0.183,0.35,0,0
2012-2013,Brandon Roy,SG,28,MIN,5,122,0.314,15.0,0.743,0.171,0.14300000000000002,0.086,0.343,0.257,0.423,0.833,0.2,0.333,0.333,0.0,0.545,0.0,0.0,0,0.333,0.0,0,0
2012-2013,Brandon Rush,SF,27,GSW,2,25,0.667,11.2,0.778,0.444,0.111,0.111,0.111,0.222,0.857,1.0,0.0,1.0,1.0,0.0,0.16699999999999998,0.0,0.111,1,0.0,0.0,0,0
2012-2013,Brendan Haywood,C,33,CHA,61,1162,0.431,6.0,0.995,0.333,0.458,0.185,0.019,0.005,0.433,0.611,0.354,0.3,0.5,0.0,0.57,0.0,0.065,14,0.0,0.0,0,0
2012-2013,Brian Roberts,PG,27,NOH,78,1324,0.417,16.3,0.701,0.139,0.166,0.102,0.294,0.299,0.43,0.465,0.471,0.442,0.387,0.386,0.299,0.508,0.0,0,0.118,0.333,3,0
2012-2013,Brook Lopez,C,24,BRK,74,2253,0.521,7.4,0.999,0.376,0.329,0.131,0.16399999999999998,0.001,0.522,0.698,0.422,0.4270000000000001,0.391,0.0,0.625,0.0,0.091,97,1.0,0.0,0,0
2012-2013,Byron Mullens,PF,23,CHA,53,1428,0.385,15.9,0.631,0.181,0.107,0.146,0.197,0.369,0.425,0.618,0.4,0.354,0.315,0.317,0.623,0.955,0.057,28,0.183,0.474,0,0
2012-2013,C.J. Miles,SF,25,CLE,65,1364,0.415,18.0,0.466,0.156,0.112,0.055,0.142,0.534,0.451,0.594,0.319,0.412,0.414,0.384,0.55,0.96,0.036000000000000004,17,0.201,0.409,1,0
2012-2013,C.J. Watson,PG,28,BRK,80,1521,0.418,17.1,0.534,0.179,0.08900000000000001,0.065,0.2,0.466,0.424,0.524,0.244,0.4,0.424,0.411,0.471,0.8859999999999999,0.0,0,0.393,0.464,0,0
2012-2013,Carl Landry,PF,29,GSW,81,1876,0.54,7.8,0.995,0.444,0.191,0.154,0.206,0.005,0.541,0.7,0.348,0.462,0.435,0.333,0.667,1.0,0.096,54,0.333,0.0,1,0
2012-2013,Carlos Boozer,PF,31,CHI,79,2546,0.477,8.9,0.998,0.341,0.171,0.3,0.18600000000000005,0.002,0.478,0.6759999999999999,0.333,0.363,0.434,0.0,0.6579999999999999,0.0,0.036000000000000004,37,0.5,0.0,0,0
2012-2013,Carlos Delfino,SF,30,HOU,67,1689,0.405,20.1,0.321,0.111,0.063,0.04,0.106,0.679,0.467,0.667,0.333,0.4,0.364,0.375,0.505,0.975,0.026,16,0.29,0.426,1,0
2012-2013,Carmelo Anthony,PF,28,NYK,67,2482,0.449,14.3,0.722,0.262,0.07400000000000001,0.159,0.227,0.278,0.476,0.556,0.364,0.447,0.441,0.379,0.279,0.764,0.022,31,0.123,0.294,5,0
2012-2013,Caron Butler,SF,32,LAC,78,1879,0.424,18.3,0.542,0.118,0.07200000000000001,0.099,0.253,0.458,0.454,0.588,0.404,0.451,0.407,0.388,0.718,0.977,0.029,16,0.312,0.447,0,0
2012-2013,Cartier Martin,SF,28,WAS,41,694,0.381,19.9,0.421,0.087,0.056,0.06,0.218,0.579,0.358,0.5,0.35700000000000004,0.267,0.327,0.397,0.579,0.966,0.0,0,0.281,0.439,0,0
2012-2013,Chandler Parsons,SF,24,HOU,76,2758,0.486,13.7,0.579,0.35,0.112,0.027000000000000003,0.091,0.421,0.5589999999999999,0.69,0.35200000000000004,0.36,0.365,0.385,0.6409999999999999,0.928,0.054000000000000006,47,0.311,0.496,0,0
2012-2013,Charles Jenkins,PG,23,PHI,12,150,0.368,13.1,1.0,0.211,0.158,0.105,0.526,0.0,0.368,0.75,0.0,0.25,0.35,0.0,0.643,0.0,0.0,0,0.0,0.0,0,0
2012-2013,Charles Jenkins,SG-PG,23,TOT,59,441,0.405,14.8,0.983,0.14,0.14,0.07400000000000001,0.628,0.017,0.403,0.706,0.059,0.222,0.434,0.5,0.667,1.0,0.0,0,0.5,1.0,0,0
2012-2013,Charles Jenkins,SG,23,GSW,47,291,0.422,15.6,0.976,0.108,0.133,0.06,0.675,0.024,0.42,0.667,0.091,0.2,0.464,0.5,0.6759999999999999,1.0,0.0,0,0.5,1.0,0,0
2012-2013,Charlie Villanueva,PF,28,DET,69,1092,0.377,17.3,0.442,0.192,0.136,0.047,0.067,0.5579999999999999,0.415,0.596,0.333,0.182,0.226,0.34700000000000003,0.506,1.0,0.03,13,0.135,0.314,1,0
2012-2013,Chase Budinger,SF,24,MIN,23,508,0.414,15.6,0.5760000000000001,0.236,0.084,0.068,0.188,0.424,0.482,0.644,0.313,0.385,0.389,0.321,0.7170000000000001,1.0,0.031,6,0.407,0.212,0,0
2012-2013,Chauncey Billups,SG,36,LAC,22,418,0.402,21.3,0.318,0.061,0.045,0.091,0.121,0.682,0.476,0.375,0.16699999999999998,0.333,0.75,0.3670000000000001,0.65,0.909,0.0,0,0.133,0.5,0,0
2012-2013,Chris Andersen,C,34,MIA,42,624,0.5770000000000001,3.5,0.976,0.805,0.106,0.008,0.057,0.024,0.575,0.6459999999999999,0.231,0.0,0.28600000000000003,0.667,0.797,1.0,0.35,37,0.0,0.0,0,0
2012-2013,Chris Bosh,C,28,MIA,74,2454,0.535,11.8,0.918,0.294,0.133,0.128,0.363,0.08199999999999999,0.557,0.7490000000000001,0.38,0.379,0.529,0.284,0.7559999999999999,1.0,0.08900000000000001,77,0.527,0.333,0,0
2012-2013,Chris Copeland,PF,28,NYK,56,862,0.479,13.6,0.632,0.318,0.121,0.042,0.15,0.368,0.513,0.6779999999999999,0.37,0.25,0.35100000000000003,0.421,0.537,0.915,0.021,8,0.28600000000000003,0.425,1,0
2012-2013,Chris Douglas-Roberts,SG,26,DAL,6,63,0.35700000000000004,14.7,0.7140000000000001,0.35700000000000004,0.14300000000000002,0.071,0.14300000000000002,0.28600000000000003,0.5,0.6,0.5,0.0,0.5,0.0,0.6,0.0,0.0,0,0.75,0.0,1,0
2012-2013,Chris Duhon,PG,30,LAL,46,820,0.382,22.0,0.26,0.08900000000000001,0.065,0.016,0.08900000000000001,0.74,0.438,0.545,0.375,0.0,0.455,0.363,0.5,0.909,0.0,0,0.14300000000000002,0.231,1,0
2012-2013,Chris Johnson,SF,22,MEM,8,102,0.44,18.5,0.28,0.16,0.12,0.0,0.0,0.72,0.7140000000000001,1.0,0.333,0.0,0.0,0.333,0.4,1.0,0.04,1,0.333,0.667,0,0
2012-2013,Chris Johnson,C,27,MIN,30,284,0.64,6.7,1.0,0.5329999999999999,0.12,0.16,0.187,0.0,0.64,0.85,0.333,0.417,0.429,0.0,0.813,0.0,0.333,24,0.0,0.0,0,0
2012-2013,Chris Kaman,C,30,DAL,66,1363,0.507,9.5,0.998,0.271,0.225,0.276,0.227,0.002,0.508,0.629,0.446,0.429,0.521,0.0,0.655,0.0,0.023,13,0.0,0.0,0,0
2012-2013,Chris Paul,PG,27,LAC,70,2335,0.481,15.3,0.7290000000000001,0.14300000000000002,0.157,0.173,0.257,0.271,0.5379999999999999,0.6890000000000001,0.545,0.5,0.477,0.328,0.173,0.447,0.008,7,0.116,0.222,2,0
2012-2013,Chris Quinn,SG,29,CLE,7,78,0.25,17.1,0.688,0.125,0.063,0.25,0.25,0.313,0.364,0.5,1.0,0.25,0.25,0.0,0.5,0.0,0.0,0,0.2,0.0,0,0
2012-2013,Chris Singleton,PF,23,WAS,57,924,0.382,13.4,0.851,0.241,0.133,0.12,0.35700000000000004,0.149,0.415,0.586,0.281,0.448,0.337,0.194,0.565,1.0,0.046,9,0.306,0.273,0,0
2012-2013,Chris Wilcox,C,30,BOS,61,830,0.7190000000000001,2.9,0.993,0.804,0.14400000000000002,0.026,0.02,0.006999999999999999,0.7240000000000001,0.797,0.455,0.5,0.0,0.0,0.736,0.0,0.34,48,0.0,0.0,1,0
2012-2013,Chris Wright,SG,23,DAL,3,4,0.5,10.5,1.0,0.5,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2012-2013,Chuck Hayes,C,29,SAC,74,1209,0.442,4.7,0.995,0.416,0.5,0.079,0.0,0.005,0.444,0.532,0.358,0.5329999999999999,0.0,0.0,0.5710000000000001,0.0,0.0,0,0.0,0.0,0,0
2012-2013,Cole Aldrich,C,24,TOT,45,388,0.55,3.7,1.0,0.55,0.438,0.013,0.0,0.0,0.55,0.682,0.371,1.0,0.0,0.0,0.636,0.0,0.25,16,0.0,0.0,0,0
2012-2013,Cole Aldrich,C,24,SAC,15,175,0.568,3.0,1.0,0.595,0.405,0.0,0.0,0.0,0.568,0.727,0.333,0.0,0.0,0.0,0.476,0.0,0.243,8,0.0,0.0,0,0
2012-2013,Cole Aldrich,C,24,HOU,30,213,0.535,4.2,1.0,0.512,0.465,0.023,0.0,0.0,0.535,0.636,0.4,1.0,0.0,0.0,0.7829999999999999,0.0,0.256,8,0.0,0.0,0,0
2012-2013,Corey Brewer,SF,26,DEN,82,2003,0.425,13.2,0.652,0.341,0.117,0.061,0.134,0.348,0.493,0.621,0.369,0.29600000000000004,0.364,0.29600000000000004,0.754,0.956,0.06,50,0.629,0.358,7,0
2012-2013,Corey Maggette,SF,33,DET,18,257,0.355,15.2,0.7240000000000001,0.158,0.184,0.066,0.316,0.276,0.4,0.583,0.429,0.0,0.375,0.238,0.545,0.8,0.0,0,0.333,0.28600000000000003,0,0
2012-2013,Cory Higgins,SG,23,CHA,6,32,0.316,16.7,0.737,0.105,0.158,0.263,0.211,0.263,0.35700000000000004,0.5,0.0,0.4,0.5,0.2,0.2,1.0,0.0,0,0.2,0.0,1,0
2012-2013,Cory Joseph,PG,21,SAS,28,388,0.464,11.2,0.809,0.364,0.16399999999999998,0.073,0.209,0.191,0.506,0.65,0.5,0.5,0.261,0.28600000000000003,0.6,0.833,0.0,0,0.5710000000000001,0.333,1,0
2012-2013,Courtney Lee,SG,27,BOS,78,1941,0.464,13.5,0.706,0.3,0.098,0.091,0.217,0.294,0.503,0.629,0.327,0.375,0.461,0.3720000000000001,0.516,0.966,0.034,16,0.545,0.447,1,0
2012-2013,D.J. Augustin,PG,25,IND,76,1226,0.35,19.6,0.354,0.153,0.075,0.044,0.08199999999999999,0.6459999999999999,0.34600000000000003,0.511,0.091,0.231,0.333,0.353,0.222,0.866,0.0,0,0.242,0.435,3,0
2012-2013,D.J. White,PF,26,BOS,12,86,0.522,14.0,1.0,0.13,0.043,0.304,0.522,0.0,0.522,0.667,0.0,0.857,0.333,0.0,0.75,0.0,0.087,2,0.0,0.0,0,0
2012-2013,DaJuan Summers,PF,25,LAC,2,7,0.25,17.0,1.0,0.0,0.25,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.333,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0
2012-2013,Daequan Cook,SG,25,HOU,16,165,0.35600000000000004,19.8,0.4920000000000001,0.085,0.068,0.068,0.271,0.508,0.345,0.6,0.25,0.0,0.375,0.3670000000000001,0.5,0.818,0.017,1,0.133,0.0,0,0
2012-2013,Daequan Cook,SG,25,CHI,33,276,0.278,20.4,0.435,0.083,0.019,0.083,0.25,0.565,0.319,0.778,0.0,0.111,0.259,0.246,0.733,0.733,0.009000000000000001,1,0.23,0.429,0,0
2012-2013,Daequan Cook,SG,25,TOT,49,441,0.305,20.2,0.455,0.084,0.036000000000000004,0.078,0.257,0.545,0.329,0.7140000000000001,0.16699999999999998,0.077,0.302,0.28600000000000003,0.64,0.769,0.012,2,0.198,0.333,0,0
2012-2013,Dahntay Jones,SF,32,ATL,28,381,0.39,11.4,0.8540000000000001,0.329,0.134,0.098,0.293,0.146,0.414,0.667,0.273,0.125,0.292,0.25,0.586,1.0,0.037000000000000005,3,0.833,0.3,0,0
2012-2013,Dahntay Jones,SF,32,DAL,50,635,0.35700000000000004,12.7,0.736,0.25,0.221,0.114,0.15,0.264,0.408,0.514,0.516,0.25,0.19,0.21600000000000005,0.381,1.0,0.029,4,0.703,0.192,1,0
2012-2013,Dahntay Jones,SF,32,TOT,78,1016,0.369,12.2,0.779,0.279,0.189,0.108,0.203,0.221,0.41,0.581,0.452,0.208,0.244,0.224,0.465,1.0,0.032,7,0.735,0.222,1,0
2012-2013,Damian Lillard,PG,22,POR,82,3167,0.429,16.0,0.609,0.262,0.064,0.061,0.224,0.391,0.469,0.531,0.378,0.449,0.4270000000000001,0.368,0.236,0.535,0.023,22,0.046,0.348,3,0
2012-2013,Damien Wilkins,SG,33,PHI,61,1095,0.459,12.0,0.8390000000000001,0.263,0.19,0.139,0.247,0.161,0.483,0.578,0.483,0.364,0.449,0.333,0.617,1.0,0.051,15,0.471,0.417,1,0
2012-2013,Damion James,SF,25,BRK,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2012-2013,Daniel Gibson,PG,26,CLE,46,919,0.34,22.0,0.34,0.069,0.049,0.012,0.211,0.66,0.333,0.529,0.25,0.333,0.28800000000000003,0.344,0.679,0.911,0.0,0,0.135,0.409,3,0
2012-2013,Daniel Orton,C,22,OKC,13,104,0.462,3.8,1.0,0.615,0.269,0.077,0.038,0.0,0.462,0.688,0.14300000000000002,0.0,0.0,0.0,0.583,0.0,0.192,4,0.0,0.0,0,0
2012-2013,Danilo Gallinari,SF,24,DEN,71,2309,0.418,15.5,0.584,0.254,0.111,0.047,0.172,0.416,0.45,0.57,0.32,0.488,0.34700000000000003,0.373,0.498,0.867,0.051,41,0.26,0.457,2,0
2012-2013,Danny Granger,SF,29,IND,5,74,0.28600000000000003,16.4,0.7140000000000001,0.086,0.171,0.14300000000000002,0.314,0.28600000000000003,0.32,0.667,0.0,0.2,0.455,0.2,0.5,1.0,0.0,0,0.0,0.0,0,0
2012-2013,Danny Green,SG,25,SAS,80,2201,0.448,18.5,0.377,0.17800000000000002,0.07200000000000001,0.038,0.08900000000000001,0.623,0.48,0.585,0.313,0.36,0.458,0.429,0.708,0.96,0.021,10,0.397,0.433,3,0
2012-2013,Dante Cunningham,PF,25,MIN,80,2010,0.468,13.1,0.991,0.238,0.094,0.122,0.537,0.009000000000000001,0.472,0.6940000000000001,0.397,0.439,0.394,0.0,0.847,0.0,0.067,39,0.0,0.0,1,0
2012-2013,Darius Johnson-Odom,SG,23,LAL,4,6,0.0,14.0,0.75,0.25,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
